Company,Code
에스텍,A069510
오텍,A067170
키이스트,A054780
중앙백신,A072020
휴비츠,A065510
우리산업홀딩스,A072470
디지털대성,A068930
코스온,A069110
유아이디,A069330
티씨케이,A064760
아모텍,A052710
웰크론,A065950
파워로직스,A047310
네스엠,A056000
이라이콤,A041520
녹원씨엔아이,A065560
홈캐스트,A064240
씨씨에스,A066790
웹젠,A069080
대화제약,A067080
우수AMS,A066590
JW신약,A067290
하츠,A066130
SBS콘텐츠허브,A046140
빅텍,A065450
탑엔지니어링,A065130
이루온,A065440
재영솔루텍,A049630
한국큐빅,A021650
인터플렉스,A051370
메디프론,A065650
삼영이엔씨,A065570
브레인콘텐츠,A066980
리더스코스메틱,A016100
바이오빌,A065940
케이피엠테크,A042040
엘앤에프,A066970
디스플레이텍,A066670
와이오엠,A066430
초록뱀,A047820
에프앤리퍼블릭,A064090
쎌바이오텍,A049960
NE능률,A053290
바른전자,A064520
KG이니시스,A035600
넥스트BT,A065170
파라다이스,A034230
젬백스지오,A041590
새로닉스,A042600
오리엔트정공,A065500
케이알피앤이,A060900
국보디자인,A066620
아이톡시,A052770
에스아이리소스,A065420
젬백스링크,A064800
리노스,A039980
현대바이오,A048410
에스피지,A058610
토탈소프트,A045340
서호전기,A065710
파커스,A065690
한프,A066110
서울리거,A043710
홈센타홀딩스,A060560
아비코전자,A036010
큐렉소,A060280
제낙스,A065620
이그잭스,A060230
옴니텔,A057680
우원개발,A046940
인선이엔티,A060150
전파기지국,A065530
SM Life Design,A063440
지어소프트,A051160
지엔코,A065060
셀루메드,A049180
KH바텍,A060720
알에프텍,A061040
에스폴리텍,A050760
이랜텍,A054210
라이브플렉스,A050120
케이피티유,A054410
3S,A060310
화일약품,A061250
오상자이엘,A053980
농우바이오,A054050
케이엘넷,A039420
에스티아이,A039440
잉크테크,A049550
대한뉴팜,A054670
씨티씨바이오,A060590
인탑스,A049070
KT서브마린,A060370
피씨디렉트,A051380
현진소재,A053660
구영테크,A053270
한국기업평가,A034950
뉴보텍,A060260
동양에스텍,A060380
백금T&A,A046310
슈펙스비앤피,A058530
고려신용정보,A049720
제일바이오,A052670
서울반도체,A046890
아가방컴퍼니,A013990
일야,A058450
미코,A059090
에이앤티앤,A050320
유신,A054930
프럼파스트,A035200
한국컴퓨터,A054040
대동스틸,A048470
레드로버,A060300
링네트,A042500
제이웨이,A058420
큐로컴,A040350
팬스타엔터프라이즈,A054300
한빛소프트,A047080
NHN한국사이버결제,A060250
금강철강,A053260
룽투코리아,A060240
포스링크,A056730
SKC 솔믹스,A057500
동아화성,A041930
비츠로시스,A054220
오리엔탈정공,A014940
크로바하이텍,A043590
리노공업,A058470
성우테크론,A045300
에스에프에이,A056190
신화인터텍,A056700
엑사이엔씨,A054940
평화정공,A043370
APS홀딩스,A054620
코위버,A056360
성호전자,A043260
UCI,A038340
YW,A051390
삼영엠텍,A054540
이니텍,A053350
에이디칩스,A054630
유진로봇,A056080
태웅,A044490
경남제약,A053950
삼보모터스,A053700
한컴위드,A054920
코미팜,A041960
프리엠스,A053160
코나아이,A052400
중앙오션,A054180
SGA,A049470
지에스이,A053050
큐브앤컴퍼니,A043090
소리바다,A053110
아이디스홀딩스,A054800
코데즈컴바인,A047770
안랩,A053800
YTN,A040300
CMG제약,A058820
JYP Ent.,A035900
한국테크놀로지,A053590
KCC건설,A021320
세동,A053060
프로텍,A053610
액토즈소프트,A052790
세코닉스,A053450
바이넥스,A053030
오성첨단소재,A052420
태양,A053620
W홀딩컴퍼니,A052300
유아이엘,A049520
대원미디어,A048910
센트럴바이오,A051980
CJ프레시웨이,A051500
파인디앤씨,A049120
디지아이,A043360
코텍,A052330
한네트,A052600
에스티큐브,A052020
에이치엘비파워,A043220
스카이문스테크놀로지,A033790
큐로홀딩스,A051780
이에스에이,A052190
나라엠앤디,A051490
에코바이오,A038870
에이텍,A045660
SK바이오랜드,A052260
대아티아이,A045390
캠시스,A050110
SFA반도체,A036540
삼표시멘트,A038500
SM C&C,A048550
승일,A049830
조광ILI,A044060
피에스엠씨,A024850
TPC,A048770
코메론,A049430
경남바이오파마,A044480
삼화네트웍스,A046390
성광벤드,A014620
유라테크,A048430
삼현철강,A017480
오픈베이스,A049480
KCI,A036670
라온시큐어,A042510
오로라,A039830
금화피에스시,A036190
코다코,A046070
인바디,A041830
고려제약,A014570
크린앤사이언스,A045520
포스코 ICT,A022100
럭슬,A033600
KD,A044180
이글벳,A044960
아즈텍WB,A032080
오리콤,A010470
위닉스,A044340
상지카일룸,A042940
엔피케이,A048830
삼천당제약,A000250
에이치케이,A044780
정원엔시스,A045510
한양이엔지,A045100
누리텔레콤,A040160
에쎈테크,A043340
국순당,A043650
엘컴텍,A037950
이오테크닉스,A039030
상상인,A038540
서울제약,A018680
나노엔텍,A039860
파나진,A046210
오공,A045060
솔고바이오,A043100
비츠로테크,A042370
코아시아,A045970
정상제이엘에스,A040420
진양제약,A007370
넥슨지티,A041140
지니뮤직,A043610
진성티이씨,A036890
현대통신,A039010
삼아제약,A009300
파루,A043200
에스씨디,A042110
한국정보공학,A039740
디오,A039840
네오위즈홀딩스,A042420
다산네트웍스,A039560
바이오스마트,A038460
에이아이비트,A039230
우리기술,A032820
안국약품,A001540
골드퍼시픽,A038530
세중,A039310
우리기술투자,A041190
HRS,A036640
에스에이엠티,A031330
NICE평가정보,A030190
위즈코프,A038620
이건홀딩스,A039020
파인디지털,A038950
나이스정보통신,A036800
SG&G,A040610
아이에이,A038880
에스넷,A038680
에스엠,A041510
쌍용정보통신,A010280
쎄니트,A037760
대성미생물,A036480
에코플라스틱,A038110
케이엠더블유,A032500
화성밸브,A039610
경남스틸,A039240
마크로젠,A038290
희림,A037440
레드캡투어,A038390
GS홈쇼핑,A028150
솔브레인,A036830
에프에스티,A036810
코맥스,A036690
EG,A037370
버추얼텍,A036620
성도이엔지,A037350
제일테크노스,A038010
무림SP,A001810
세종텔레콤,A036630
심텍홀딩스,A036710
파세코,A037070
영풍정밀,A036560
이테크건설,A016250
KTH,A036030
서희건설,A035890
주성엔지니어링,A036930
다우데이타,A032190
동진쎄미켐,A005290
라이브파이낸셜,A036170
선광,A003100
에이프런티어,A036180
제이에스티나,A026040
한국팩키지,A037230
삼지전자,A037460
우리조명,A037400
SK머티리얼즈,A036490
네패스,A033640
인지디스플레,A037330
위지트,A036090
유니셈,A036200
유성티엔에스,A024800
이매진아시아,A036260
코리아나,A027050
SCI평가정보,A036120
더블유에프엠,A035290
서울전자통신,A027040
대성창투,A027830
예림당,A036000
CJ ENM,A035760
이지바이오,A035810
기산텔레콤,A035460
바른손이앤에이,A035620
솔본,A035610
시공테크,A020710
신일제약,A012790
조아제약,A034940
인성정보,A033230
인터파크홀딩스,A035080
동국산업,A005160
매일홀딩스,A005990
해성산업,A034810
녹십자셀,A031390
디에스티,A033430
한국정보통신,A025770
파라텍,A033540
동성화인텍,A033500
드래곤플라이,A030350
디케이디앤아이,A033310
엠케이전자,A033160
제이씨현시스템,A033320
포스코엠텍,A009520
스페코,A013810
좋은사람들,A033340
모아텍,A033200
코웰패션,A033290
코콤,A015710
제룡전기,A033100
제이엠아이,A033050
코너스톤네트웍스,A033110
디지틀조선,A033130
바이온,A032980
와이지-원,A019210
특수건설,A026150
아이즈비전,A031310
동일기연,A032960
소프트센,A032680
원익,A032940
원풍물산,A008290
삼진,A032750
글로스퍼랩스,A032860
비트컴퓨터,A032850
엠젠플러스,A032790
판타지오,A032800
유비케어,A032620
피델릭스,A032580
TJ미디어,A032540
휴맥스홀딩스,A028080
삼일,A032280
뉴인텍,A012340
오스템,A031510
엔에스엔,A031860
피에스케이홀딩스,A031980
세보엠이씨,A011560
한일단조,A024740
양지사,A030960
원익홀딩스,A030530
